/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
8 of 100000, maximal objective function=4.02675, time remaining: 06:52:01
16 of 100000, maximal objective function=4.64995, time remaining: 07:14:56
24 of 100000, maximal objective function=7.70462, time remaining: 07:23:18
32 of 100000, maximal objective function=7.70462, time remaining: 07:27:10
40 of 100000, maximal objective function=7.70462, time remaining: 07:29:36
48 of 100000, maximal objective function=7.70462, time remaining: 07:31:00
56 of 100000, maximal objective function=7.70462, time remaining: 07:32:18
64 of 100000, maximal objective function=7.70462, time remaining: 07:33:09
72 of 100000, maximal objective function=7.70462, time remaining: 07:33:49
80 of 100000, maximal objective function=7.70462, time remaining: 07:34:24
88 of 100000, maximal objective function=7.70462, time remaining: 07:34:50
96 of 100000, maximal objective function=7.70462, time remaining: 07:35:08
104 of 100000, maximal objective function=7.70462, time remaining: 07:35:35
112 of 100000, maximal objective function=8.50682, time remaining: 07:36:03
120 of 100000, maximal objective function=8.50682, time remaining: 07:36:10
128 of 100000, maximal objective function=8.50682, time remaining: 07:36:30
136 of 100000, maximal objective function=8.50682, time remaining: 07:36:35
144 of 100000, maximal objective function=8.50682, time remaining: 07:36:47
152 of 100000, maximal objective function=8.50682, time remaining: 07:37:06
160 of 100000, maximal objective function=8.50682, time remaining: 07:37:20
168 of 100000, maximal objective function=8.50682, time remaining: 07:37:27
176 of 100000, maximal objective function=8.50682, time remaining: 07:37:25
184 of 100000, maximal objective function=8.50682, time remaining: 07:37:23
192 of 100000, maximal objective function=8.50682, time remaining: 07:37:34
200 of 100000, maximal objective function=8.50682, time remaining: 07:37:38
208 of 100000, maximal objective function=8.50682, time remaining: 07:37:36
216 of 100000, maximal objective function=8.50682, time remaining: 07:37:37
224 of 100000, maximal objective function=8.50682, time remaining: 07:37:40
232 of 100000, maximal objective function=8.50682, time remaining: 07:37:36
240 of 100000, maximal objective function=8.50682, time remaining: 07:37:40
248 of 100000, maximal objective function=8.50682, time remaining: 07:37:35
256 of 100000, maximal objective function=8.50682, time remaining: 07:37:25
264 of 100000, maximal objective function=8.50682, time remaining: 07:37:27
272 of 100000, maximal objective function=8.50682, time remaining: 07:37:15
280 of 100000, maximal objective function=8.50682, time remaining: 07:37:08
288 of 100000, maximal objective function=8.50682, time remaining: 07:36:55
296 of 100000, maximal objective function=8.50682, time remaining: 07:36:47
304 of 100000, maximal objective function=8.50682, time remaining: 07:36:38
312 of 100000, maximal objective function=8.50682, time remaining: 07:36:30
