/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
8 of 100000, maximal objective function=3.46716, time remaining: 06:54:12
16 of 100000, maximal objective function=3.46716, time remaining: 07:17:02
24 of 100000, maximal objective function=3.46716, time remaining: 07:24:51
32 of 100000, maximal objective function=5.42626, time remaining: 07:28:42
40 of 100000, maximal objective function=5.42626, time remaining: 07:31:22
48 of 100000, maximal objective function=5.42626, time remaining: 07:32:50
56 of 100000, maximal objective function=5.42626, time remaining: 07:33:38
64 of 100000, maximal objective function=5.42626, time remaining: 07:34:19
72 of 100000, maximal objective function=5.42626, time remaining: 07:35:01
80 of 100000, maximal objective function=8.13519, time remaining: 07:35:18
88 of 100000, maximal objective function=8.13519, time remaining: 07:35:31
96 of 100000, maximal objective function=8.13519, time remaining: 07:36:00
104 of 100000, maximal objective function=8.13519, time remaining: 07:36:46
112 of 100000, maximal objective function=8.91143, time remaining: 07:36:59
120 of 100000, maximal objective function=8.91143, time remaining: 07:36:59
128 of 100000, maximal objective function=8.91143, time remaining: 07:36:55
136 of 100000, maximal objective function=8.91143, time remaining: 07:36:50
144 of 100000, maximal objective function=8.91143, time remaining: 07:36:58
152 of 100000, maximal objective function=8.91143, time remaining: 07:36:46
160 of 100000, maximal objective function=8.91143, time remaining: 07:36:35
168 of 100000, maximal objective function=8.91143, time remaining: 07:36:40
176 of 100000, maximal objective function=8.91143, time remaining: 07:36:37
184 of 100000, maximal objective function=8.91143, time remaining: 07:36:34
192 of 100000, maximal objective function=8.91143, time remaining: 07:36:33
200 of 100000, maximal objective function=8.91143, time remaining: 07:36:32
208 of 100000, maximal objective function=8.91143, time remaining: 07:36:33
216 of 100000, maximal objective function=8.91143, time remaining: 07:36:31
224 of 100000, maximal objective function=8.91143, time remaining: 07:36:33
232 of 100000, maximal objective function=8.91143, time remaining: 07:36:35
240 of 100000, maximal objective function=8.91143, time remaining: 07:36:37
248 of 100000, maximal objective function=8.91143, time remaining: 07:36:41
256 of 100000, maximal objective function=8.91143, time remaining: 07:36:36
264 of 100000, maximal objective function=8.91143, time remaining: 07:36:38
272 of 100000, maximal objective function=8.91143, time remaining: 07:36:36
280 of 100000, maximal objective function=10.3551, time remaining: 07:36:33
288 of 100000, maximal objective function=10.3551, time remaining: 07:36:33
296 of 100000, maximal objective function=10.3551, time remaining: 07:36:28
304 of 100000, maximal objective function=10.3551, time remaining: 07:36:24
312 of 100000, maximal objective function=10.3551, time remaining: 07:36:19
320 of 100000, maximal objective function=10.3551, time remaining: 07:36:19
328 of 100000, maximal objective function=10.3551, time remaining: 07:36:21
336 of 100000, maximal objective function=10.3551, time remaining: 07:36:21
344 of 100000, maximal objective function=10.3551, time remaining: 07:36:23
352 of 100000, maximal objective function=10.3551, time remaining: 07:36:23
360 of 100000, maximal objective function=10.3551, time remaining: 07:36:21
368 of 100000, maximal objective function=10.3551, time remaining: 07:36:19
376 of 100000, maximal objective function=10.3551, time remaining: 07:36:18
384 of 100000, maximal objective function=10.3551, time remaining: 07:36:16
392 of 100000, maximal objective function=10.3551, time remaining: 07:36:11
400 of 100000, maximal objective function=10.3551, time remaining: 07:36:12
408 of 100000, maximal objective function=10.3551, time remaining: 07:36:12
416 of 100000, maximal objective function=10.3551, time remaining: 07:36:15
424 of 100000, maximal objective function=10.3551, time remaining: 07:36:17
432 of 100000, maximal objective function=10.3551, time remaining: 07:36:18
440 of 100000, maximal objective function=10.3551, time remaining: 07:36:14
448 of 100000, maximal objective function=10.3551, time remaining: 07:36:09
456 of 100000, maximal objective function=10.3551, time remaining: 07:36:07
464 of 100000, maximal objective function=10.3551, time remaining: 07:36:02
472 of 100000, maximal objective function=10.3551, time remaining: 07:35:59
480 of 100000, maximal objective function=10.3551, time remaining: 07:35:56
488 of 100000, maximal objective function=10.3551, time remaining: 07:35:57
496 of 100000, maximal objective function=10.3551, time remaining: 07:35:54
504 of 100000, maximal objective function=10.8251, time remaining: 07:35:57
512 of 100000, maximal objective function=11.1496, time remaining: 07:35:57
520 of 100000, maximal objective function=13.6728, time remaining: 07:35:58
528 of 100000, maximal objective function=13.6728, time remaining: 07:35:57
536 of 100000, maximal objective function=13.6728, time remaining: 07:35:58
544 of 100000, maximal objective function=14.8736, time remaining: 07:35:58
552 of 100000, maximal objective function=15.9265, time remaining: 07:35:56
560 of 100000, maximal objective function=16.2718, time remaining: 07:35:56
568 of 100000, maximal objective function=16.9471, time remaining: 07:35:55
576 of 100000, maximal objective function=18.5951, time remaining: 07:35:57
584 of 100000, maximal objective function=18.5951, time remaining: 07:36:00
592 of 100000, maximal objective function=18.6392, time remaining: 07:35:57
600 of 100000, maximal objective function=18.6392, time remaining: 07:35:52
608 of 100000, maximal objective function=18.6392, time remaining: 07:35:50
616 of 100000, maximal objective function=18.6392, time remaining: 07:35:47
624 of 100000, maximal objective function=18.6392, time remaining: 07:35:43
632 of 100000, maximal objective function=18.6392, time remaining: 07:35:41
640 of 100000, maximal objective function=18.6392, time remaining: 07:35:37
648 of 100000, maximal objective function=18.8648, time remaining: 07:35:35
656 of 100000, maximal objective function=18.8648, time remaining: 07:35:32
664 of 100000, maximal objective function=18.9136, time remaining: 07:35:29
672 of 100000, maximal objective function=18.9433, time remaining: 07:35:26
680 of 100000, maximal objective function=18.9433, time remaining: 07:35:24
688 of 100000, maximal objective function=18.9433, time remaining: 07:35:22
696 of 100000, maximal objective function=18.9433, time remaining: 07:35:21
704 of 100000, maximal objective function=18.9433, time remaining: 07:35:20
712 of 100000, maximal objective function=18.9433, time remaining: 07:35:18
720 of 100000, maximal objective function=18.9433, time remaining: 07:35:17
728 of 100000, maximal objective function=19.0927, time remaining: 07:35:21
736 of 100000, maximal objective function=19.0927, time remaining: 07:35:20
744 of 100000, maximal objective function=19.0927, time remaining: 07:35:19
752 of 100000, maximal objective function=19.0927, time remaining: 07:35:18
760 of 100000, maximal objective function=19.0927, time remaining: 07:35:16
768 of 100000, maximal objective function=19.318, time remaining: 07:35:16
776 of 100000, maximal objective function=19.318, time remaining: 07:35:16
784 of 100000, maximal objective function=19.318, time remaining: 07:35:15
792 of 100000, maximal objective function=19.318, time remaining: 07:35:13
800 of 100000, maximal objective function=19.7078, time remaining: 07:35:12
808 of 100000, maximal objective function=19.7078, time remaining: 07:35:12
816 of 100000, maximal objective function=19.7078, time remaining: 07:35:13
824 of 100000, maximal objective function=19.7078, time remaining: 07:35:11
832 of 100000, maximal objective function=19.9266, time remaining: 07:35:10
840 of 100000, maximal objective function=19.9266, time remaining: 07:35:08
848 of 100000, maximal objective function=19.9266, time remaining: 07:35:07
856 of 100000, maximal objective function=19.9266, time remaining: 07:35:06
864 of 100000, maximal objective function=19.9266, time remaining: 07:35:04
872 of 100000, maximal objective function=19.9266, time remaining: 07:35:05
880 of 100000, maximal objective function=19.9266, time remaining: 07:35:04
888 of 100000, maximal objective function=19.9266, time remaining: 07:35:03
896 of 100000, maximal objective function=19.9266, time remaining: 07:35:02
903 of 100000, maximal objective function=19.9266, time remaining: 07:35:33
911 of 100000, maximal objective function=19.9266, time remaining: 07:35:33
919 of 100000, maximal objective function=19.9266, time remaining: 07:35:31
927 of 100000, maximal objective function=19.9266, time remaining: 07:35:29
935 of 100000, maximal objective function=19.9266, time remaining: 07:35:29
943 of 100000, maximal objective function=19.9266, time remaining: 07:35:27
951 of 100000, maximal objective function=19.9266, time remaining: 07:35:26
959 of 100000, maximal objective function=19.9266, time remaining: 07:35:25
967 of 100000, maximal objective function=19.9266, time remaining: 07:35:24
975 of 100000, maximal objective function=19.9266, time remaining: 07:35:23
983 of 100000, maximal objective function=19.97, time remaining: 07:35:21
991 of 100000, maximal objective function=19.97, time remaining: 07:35:19
999 of 100000, maximal objective function=19.97, time remaining: 07:35:19
1007 of 100000, maximal objective function=19.97, time remaining: 07:35:18
1015 of 100000, maximal objective function=19.97, time remaining: 07:35:17
1023 of 100000, maximal objective function=19.97, time remaining: 07:35:17
1031 of 100000, maximal objective function=19.97, time remaining: 07:35:16
1039 of 100000, maximal objective function=19.97, time remaining: 07:35:13
1047 of 100000, maximal objective function=19.97, time remaining: 07:35:11
1055 of 100000, maximal objective function=19.97, time remaining: 07:35:09
1063 of 100000, maximal objective function=19.97, time remaining: 07:35:06
1071 of 100000, maximal objective function=19.97, time remaining: 07:35:04
1079 of 100000, maximal objective function=20.0699, time remaining: 07:35:02
1086 of 100000, maximal objective function=20.0699, time remaining: 07:35:39
1094 of 100000, maximal objective function=20.0699, time remaining: 07:35:38
1102 of 100000, maximal objective function=20.0699, time remaining: 07:35:35
1110 of 100000, maximal objective function=20.0699, time remaining: 07:35:33
1118 of 100000, maximal objective function=20.0699, time remaining: 07:35:31
1126 of 100000, maximal objective function=20.0871, time remaining: 07:35:30
1134 of 100000, maximal objective function=20.0871, time remaining: 07:35:28
1142 of 100000, maximal objective function=20.0871, time remaining: 07:35:26
1150 of 100000, maximal objective function=20.0871, time remaining: 07:35:23
1158 of 100000, maximal objective function=20.0871, time remaining: 07:35:21
1166 of 100000, maximal objective function=20.0871, time remaining: 07:35:19
1174 of 100000, maximal objective function=20.0871, time remaining: 07:35:17
1182 of 100000, maximal objective function=20.0871, time remaining: 07:35:14
1190 of 100000, maximal objective function=20.0871, time remaining: 07:35:13
1198 of 100000, maximal objective function=20.0871, time remaining: 07:35:11
1206 of 100000, maximal objective function=20.0871, time remaining: 07:35:08
1214 of 100000, maximal objective function=20.0871, time remaining: 07:35:06
1222 of 100000, maximal objective function=20.0871, time remaining: 07:35:05
1230 of 100000, maximal objective function=20.127, time remaining: 07:35:03
1238 of 100000, maximal objective function=20.127, time remaining: 07:35:01
1246 of 100000, maximal objective function=20.127, time remaining: 07:34:58
1254 of 100000, maximal objective function=20.127, time remaining: 07:34:56
1262 of 100000, maximal objective function=20.127, time remaining: 07:34:54
1269 of 100000, maximal objective function=20.127, time remaining: 07:35:08
1277 of 100000, maximal objective function=20.127, time remaining: 07:35:06
1285 of 100000, maximal objective function=20.127, time remaining: 07:35:03
1293 of 100000, maximal objective function=20.127, time remaining: 07:35:00
1301 of 100000, maximal objective function=20.1506, time remaining: 07:34:58
1309 of 100000, maximal objective function=21.5942, time remaining: 07:34:55
1317 of 100000, maximal objective function=21.6427, time remaining: 07:34:53
1325 of 100000, maximal objective function=21.6427, time remaining: 07:34:51
1333 of 100000, maximal objective function=21.6427, time remaining: 07:34:48
1341 of 100000, maximal objective function=21.6427, time remaining: 07:34:45
1349 of 100000, maximal objective function=21.6427, time remaining: 07:34:42
1357 of 100000, maximal objective function=21.6427, time remaining: 07:34:39
1365 of 100000, maximal objective function=21.6427, time remaining: 07:34:36
1373 of 100000, maximal objective function=21.793, time remaining: 07:34:34
1381 of 100000, maximal objective function=21.793, time remaining: 07:34:30
1389 of 100000, maximal objective function=21.793, time remaining: 07:34:28
1397 of 100000, maximal objective function=21.793, time remaining: 07:34:25
1405 of 100000, maximal objective function=21.793, time remaining: 07:34:22
1413 of 100000, maximal objective function=21.793, time remaining: 07:34:20
1421 of 100000, maximal objective function=21.793, time remaining: 07:34:16
1429 of 100000, maximal objective function=21.793, time remaining: 07:34:17
1437 of 100000, maximal objective function=21.8478, time remaining: 07:34:14
1445 of 100000, maximal objective function=21.8478, time remaining: 07:34:11
1453 of 100000, maximal objective function=21.8478, time remaining: 07:34:16
1459 of 100000, maximal objective function=21.8478, time remaining: 07:34:38
1467 of 100000, maximal objective function=21.8478, time remaining: 07:34:35
1475 of 100000, maximal objective function=21.8478, time remaining: 07:34:32
1483 of 100000, maximal objective function=21.8478, time remaining: 07:34:29
1491 of 100000, maximal objective function=22.1636, time remaining: 07:34:26
1499 of 100000, maximal objective function=22.1636, time remaining: 07:34:23
1507 of 100000, maximal objective function=22.1636, time remaining: 07:34:20
1515 of 100000, maximal objective function=22.1636, time remaining: 07:34:17
1523 of 100000, maximal objective function=22.1636, time remaining: 07:34:13
1531 of 100000, maximal objective function=22.1636, time remaining: 07:34:09
1539 of 100000, maximal objective function=22.1636, time remaining: 07:34:06
1547 of 100000, maximal objective function=22.1636, time remaining: 07:34:03
1555 of 100000, maximal objective function=22.1951, time remaining: 07:34:00
1563 of 100000, maximal objective function=22.1951, time remaining: 07:33:57
1571 of 100000, maximal objective function=22.2402, time remaining: 07:33:54
1579 of 100000, maximal objective function=22.2402, time remaining: 07:33:50
1587 of 100000, maximal objective function=22.2402, time remaining: 07:33:47
1595 of 100000, maximal objective function=22.3799, time remaining: 07:33:44
1603 of 100000, maximal objective function=22.3799, time remaining: 07:33:41
1611 of 100000, maximal objective function=22.3799, time remaining: 07:33:38
1619 of 100000, maximal objective function=22.3799, time remaining: 07:33:36
1627 of 100000, maximal objective function=22.3799, time remaining: 07:33:32
1635 of 100000, maximal objective function=22.3799, time remaining: 07:33:29
1641 of 100000, maximal objective function=22.3799, time remaining: 07:33:50
1649 of 100000, maximal objective function=22.6427, time remaining: 07:33:48
1657 of 100000, maximal objective function=22.6427, time remaining: 07:33:48
1664 of 100000, maximal objective function=22.6427, time remaining: 07:33:50
1672 of 100000, maximal objective function=22.6427, time remaining: 07:33:46
1680 of 100000, maximal objective function=22.6427, time remaining: 07:33:44
1688 of 100000, maximal objective function=22.6427, time remaining: 07:33:40
1696 of 100000, maximal objective function=22.6427, time remaining: 07:33:37
1704 of 100000, maximal objective function=22.6427, time remaining: 07:33:34
1712 of 100000, maximal objective function=22.6427, time remaining: 07:33:31
1720 of 100000, maximal objective function=22.6427, time remaining: 07:33:28
1728 of 100000, maximal objective function=22.6427, time remaining: 07:33:25
1736 of 100000, maximal objective function=22.6427, time remaining: 07:33:22
1744 of 100000, maximal objective function=22.6427, time remaining: 07:33:20
1752 of 100000, maximal objective function=22.6427, time remaining: 07:33:16
1760 of 100000, maximal objective function=22.6427, time remaining: 07:33:12
1768 of 100000, maximal objective function=22.6427, time remaining: 07:33:09
1776 of 100000, maximal objective function=22.6427, time remaining: 07:33:06
1784 of 100000, maximal objective function=22.6427, time remaining: 07:33:03
1792 of 100000, maximal objective function=22.6427, time remaining: 07:33:00
1800 of 100000, maximal objective function=22.6427, time remaining: 07:32:57
1808 of 100000, maximal objective function=22.655, time remaining: 07:32:54
1816 of 100000, maximal objective function=22.655, time remaining: 07:32:51
1823 of 100000, maximal objective function=22.655, time remaining: 07:32:54
1829 of 100000, maximal objective function=22.655, time remaining: 07:33:25
1837 of 100000, maximal objective function=22.655, time remaining: 07:33:22
1845 of 100000, maximal objective function=22.655, time remaining: 07:33:18
1853 of 100000, maximal objective function=22.655, time remaining: 07:33:15
1861 of 100000, maximal objective function=22.655, time remaining: 07:33:12
1869 of 100000, maximal objective function=22.655, time remaining: 07:33:09
1877 of 100000, maximal objective function=22.655, time remaining: 07:33:06
1885 of 100000, maximal objective function=22.655, time remaining: 07:33:02
1893 of 100000, maximal objective function=22.655, time remaining: 07:32:59
1901 of 100000, maximal objective function=22.6599, time remaining: 07:32:56
1909 of 100000, maximal objective function=22.6599, time remaining: 07:32:53
1917 of 100000, maximal objective function=22.6599, time remaining: 07:32:49
1925 of 100000, maximal objective function=22.7012, time remaining: 07:32:47
1933 of 100000, maximal objective function=22.7012, time remaining: 07:32:44
1941 of 100000, maximal objective function=22.7012, time remaining: 07:32:40
1949 of 100000, maximal objective function=22.7012, time remaining: 07:32:37
1957 of 100000, maximal objective function=22.7012, time remaining: 07:32:34
1965 of 100000, maximal objective function=22.7012, time remaining: 07:32:31
1973 of 100000, maximal objective function=22.7012, time remaining: 07:32:29
1981 of 100000, maximal objective function=22.7012, time remaining: 07:32:26
1989 of 100000, maximal objective function=22.7012, time remaining: 07:32:24
1997 of 100000, maximal objective function=22.7012, time remaining: 07:32:21
2005 of 100000, maximal objective function=22.7012, time remaining: 07:32:18
2012 of 100000, maximal objective function=22.7012, time remaining: 07:32:26
2020 of 100000, maximal objective function=22.7012, time remaining: 07:32:24
2028 of 100000, maximal objective function=22.7012, time remaining: 07:32:21
2036 of 100000, maximal objective function=22.7012, time remaining: 07:32:18
2044 of 100000, maximal objective function=22.7012, time remaining: 07:32:15
2052 of 100000, maximal objective function=22.7012, time remaining: 07:32:12
2060 of 100000, maximal objective function=22.7012, time remaining: 07:32:09
2068 of 100000, maximal objective function=22.7012, time remaining: 07:32:06
2076 of 100000, maximal objective function=22.7012, time remaining: 07:32:03
2084 of 100000, maximal objective function=22.7012, time remaining: 07:31:59
2092 of 100000, maximal objective function=22.7012, time remaining: 07:31:56
2100 of 100000, maximal objective function=22.7012, time remaining: 07:31:53
2108 of 100000, maximal objective function=22.7012, time remaining: 07:31:50
2116 of 100000, maximal objective function=22.7012, time remaining: 07:31:47
2124 of 100000, maximal objective function=22.7012, time remaining: 07:31:44
2132 of 100000, maximal objective function=22.7012, time remaining: 07:31:41
2140 of 100000, maximal objective function=22.7012, time remaining: 07:31:37
2148 of 100000, maximal objective function=22.7012, time remaining: 07:31:34
2156 of 100000, maximal objective function=22.7012, time remaining: 07:31:32
2164 of 100000, maximal objective function=22.7012, time remaining: 07:31:29
2172 of 100000, maximal objective function=22.7012, time remaining: 07:31:26
2180 of 100000, maximal objective function=22.7101, time remaining: 07:31:23
2188 of 100000, maximal objective function=22.7101, time remaining: 07:31:20
2195 of 100000, maximal objective function=22.7101, time remaining: 07:31:27
2202 of 100000, maximal objective function=22.7521, time remaining: 07:31:37
2210 of 100000, maximal objective function=22.8137, time remaining: 07:31:34
2218 of 100000, maximal objective function=22.8137, time remaining: 07:31:31
2226 of 100000, maximal objective function=22.8137, time remaining: 07:31:29
2234 of 100000, maximal objective function=22.8137, time remaining: 07:31:26
2242 of 100000, maximal objective function=22.8137, time remaining: 07:31:22
2250 of 100000, maximal objective function=22.8137, time remaining: 07:31:19
2258 of 100000, maximal objective function=22.8305, time remaining: 07:31:16
2266 of 100000, maximal objective function=22.8305, time remaining: 07:31:13
2274 of 100000, maximal objective function=22.8305, time remaining: 07:31:11
2282 of 100000, maximal objective function=22.8305, time remaining: 07:31:08
2290 of 100000, maximal objective function=22.8305, time remaining: 07:31:05
2298 of 100000, maximal objective function=22.8305, time remaining: 07:31:02
2306 of 100000, maximal objective function=22.8305, time remaining: 07:30:59
2314 of 100000, maximal objective function=22.8305, time remaining: 07:30:58
2322 of 100000, maximal objective function=22.8305, time remaining: 07:30:54
2330 of 100000, maximal objective function=22.8305, time remaining: 07:30:52
2338 of 100000, maximal objective function=22.8305, time remaining: 07:30:49
2346 of 100000, maximal objective function=22.8305, time remaining: 07:30:46
2354 of 100000, maximal objective function=22.8305, time remaining: 07:30:43
2362 of 100000, maximal objective function=22.8305, time remaining: 07:30:40
2370 of 100000, maximal objective function=22.8428, time remaining: 07:30:37
2378 of 100000, maximal objective function=22.8428, time remaining: 07:30:35
2384 of 100000, maximal objective function=22.8428, time remaining: 07:30:48
2392 of 100000, maximal objective function=22.8428, time remaining: 07:30:45
2400 of 100000, maximal objective function=22.8428, time remaining: 07:30:42
2408 of 100000, maximal objective function=22.8428, time remaining: 07:30:41
2416 of 100000, maximal objective function=22.8428, time remaining: 07:30:39
2424 of 100000, maximal objective function=22.8428, time remaining: 07:30:36
2432 of 100000, maximal objective function=22.8428, time remaining: 07:30:33
2440 of 100000, maximal objective function=22.8428, time remaining: 07:30:30
2448 of 100000, maximal objective function=22.8428, time remaining: 07:30:27
2456 of 100000, maximal objective function=22.8428, time remaining: 07:30:24
2464 of 100000, maximal objective function=22.8428, time remaining: 07:30:21
2472 of 100000, maximal objective function=22.8428, time remaining: 07:30:19
2480 of 100000, maximal objective function=22.8428, time remaining: 07:30:18
2488 of 100000, maximal objective function=22.8428, time remaining: 07:30:16
2496 of 100000, maximal objective function=22.8508, time remaining: 07:30:13
2504 of 100000, maximal objective function=22.8508, time remaining: 07:30:11
2512 of 100000, maximal objective function=22.8508, time remaining: 07:30:08
2520 of 100000, maximal objective function=22.8508, time remaining: 07:30:05
2528 of 100000, maximal objective function=22.859, time remaining: 07:30:03
2536 of 100000, maximal objective function=22.859, time remaining: 07:30:01
2544 of 100000, maximal objective function=22.859, time remaining: 07:29:58
2552 of 100000, maximal objective function=22.859, time remaining: 07:29:55
2560 of 100000, maximal objective function=22.859, time remaining: 07:29:52
2567 of 100000, maximal objective function=22.859, time remaining: 07:30:06
2575 of 100000, maximal objective function=22.859, time remaining: 07:30:04
2583 of 100000, maximal objective function=22.859, time remaining: 07:30:01
2591 of 100000, maximal objective function=22.859, time remaining: 07:29:58
2599 of 100000, maximal objective function=22.859, time remaining: 07:29:55
2607 of 100000, maximal objective function=22.859, time remaining: 07:29:53
2615 of 100000, maximal objective function=22.859, time remaining: 07:29:50
2623 of 100000, maximal objective function=22.859, time remaining: 07:29:47
2631 of 100000, maximal objective function=22.859, time remaining: 07:29:44
2639 of 100000, maximal objective function=22.859, time remaining: 07:29:41
2647 of 100000, maximal objective function=22.859, time remaining: 07:29:39
2655 of 100000, maximal objective function=22.859, time remaining: 07:29:36
2663 of 100000, maximal objective function=22.859, time remaining: 07:29:33
2671 of 100000, maximal objective function=22.859, time remaining: 07:29:31
2679 of 100000, maximal objective function=22.859, time remaining: 07:29:28
2687 of 100000, maximal objective function=22.859, time remaining: 07:29:25
2695 of 100000, maximal objective function=22.859, time remaining: 07:29:22
2703 of 100000, maximal objective function=22.859, time remaining: 07:29:20
2711 of 100000, maximal objective function=22.859, time remaining: 07:29:17
2719 of 100000, maximal objective function=22.859, time remaining: 07:29:14
2727 of 100000, maximal objective function=22.859, time remaining: 07:29:12
2735 of 100000, maximal objective function=22.859, time remaining: 07:29:10
2743 of 100000, maximal objective function=22.859, time remaining: 07:29:09
2751 of 100000, maximal objective function=22.859, time remaining: 07:29:12
