/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
8 of 100000, maximal objective function=6.82909, time remaining: 06:51:13
16 of 100000, maximal objective function=6.82909, time remaining: 07:14:00
24 of 100000, maximal objective function=6.82909, time remaining: 07:21:54
32 of 100000, maximal objective function=6.82909, time remaining: 07:25:07
40 of 100000, maximal objective function=6.82909, time remaining: 07:27:04
48 of 100000, maximal objective function=6.82909, time remaining: 07:28:21
56 of 100000, maximal objective function=6.82909, time remaining: 07:29:13
64 of 100000, maximal objective function=6.82909, time remaining: 07:30:23
72 of 100000, maximal objective function=6.82909, time remaining: 07:30:55
80 of 100000, maximal objective function=6.82909, time remaining: 07:31:18
88 of 100000, maximal objective function=6.82909, time remaining: 07:31:58
96 of 100000, maximal objective function=6.82909, time remaining: 07:32:39
104 of 100000, maximal objective function=6.82909, time remaining: 07:33:05
112 of 100000, maximal objective function=6.82909, time remaining: 07:33:10
120 of 100000, maximal objective function=6.82909, time remaining: 07:33:08
128 of 100000, maximal objective function=6.82909, time remaining: 07:33:15
136 of 100000, maximal objective function=6.82909, time remaining: 07:33:13
144 of 100000, maximal objective function=6.82909, time remaining: 07:33:17
152 of 100000, maximal objective function=6.82909, time remaining: 07:33:33
160 of 100000, maximal objective function=6.82909, time remaining: 07:33:30
168 of 100000, maximal objective function=6.82909, time remaining: 07:33:39
176 of 100000, maximal objective function=6.82909, time remaining: 07:33:47
184 of 100000, maximal objective function=6.82909, time remaining: 07:33:55
192 of 100000, maximal objective function=6.82909, time remaining: 07:34:06
200 of 100000, maximal objective function=6.82909, time remaining: 07:34:14
208 of 100000, maximal objective function=6.82909, time remaining: 07:34:22
216 of 100000, maximal objective function=7.87227, time remaining: 07:34:25
224 of 100000, maximal objective function=7.87227, time remaining: 07:34:33
232 of 100000, maximal objective function=7.87227, time remaining: 07:34:43
240 of 100000, maximal objective function=7.87227, time remaining: 07:34:45
248 of 100000, maximal objective function=7.87227, time remaining: 07:34:50
256 of 100000, maximal objective function=7.87227, time remaining: 07:34:53
264 of 100000, maximal objective function=8.0463, time remaining: 07:34:54
272 of 100000, maximal objective function=8.0463, time remaining: 07:34:51
280 of 100000, maximal objective function=8.0463, time remaining: 07:34:48
288 of 100000, maximal objective function=8.0463, time remaining: 07:34:45
296 of 100000, maximal objective function=8.0463, time remaining: 07:34:43
304 of 100000, maximal objective function=8.0463, time remaining: 07:34:44
312 of 100000, maximal objective function=8.0463, time remaining: 07:34:41
320 of 100000, maximal objective function=9.32871, time remaining: 07:34:43
328 of 100000, maximal objective function=9.32871, time remaining: 07:34:39
336 of 100000, maximal objective function=9.32871, time remaining: 07:34:39
344 of 100000, maximal objective function=9.32871, time remaining: 07:34:36
352 of 100000, maximal objective function=9.32871, time remaining: 07:34:38
360 of 100000, maximal objective function=9.32871, time remaining: 07:34:34
368 of 100000, maximal objective function=9.32871, time remaining: 07:34:40
376 of 100000, maximal objective function=9.32871, time remaining: 07:34:39
384 of 100000, maximal objective function=9.32871, time remaining: 07:34:40
392 of 100000, maximal objective function=9.32871, time remaining: 07:34:38
400 of 100000, maximal objective function=9.32871, time remaining: 07:34:36
408 of 100000, maximal objective function=9.32871, time remaining: 07:34:36
416 of 100000, maximal objective function=9.32871, time remaining: 07:34:33
424 of 100000, maximal objective function=9.32871, time remaining: 07:34:33
432 of 100000, maximal objective function=9.32871, time remaining: 07:34:30
440 of 100000, maximal objective function=9.32871, time remaining: 07:34:29
448 of 100000, maximal objective function=9.32871, time remaining: 07:34:26
456 of 100000, maximal objective function=9.32871, time remaining: 07:34:26
464 of 100000, maximal objective function=9.32871, time remaining: 07:34:29
472 of 100000, maximal objective function=9.32871, time remaining: 07:34:26
480 of 100000, maximal objective function=9.40794, time remaining: 07:34:25
488 of 100000, maximal objective function=9.40794, time remaining: 07:34:23
496 of 100000, maximal objective function=9.40794, time remaining: 07:34:24
504 of 100000, maximal objective function=10.9913, time remaining: 07:34:23
512 of 100000, maximal objective function=11.9704, time remaining: 07:34:24
520 of 100000, maximal objective function=13.5206, time remaining: 07:34:23
528 of 100000, maximal objective function=16.4489, time remaining: 07:34:22
536 of 100000, maximal objective function=17.2645, time remaining: 07:34:23
544 of 100000, maximal objective function=17.2645, time remaining: 07:34:25
552 of 100000, maximal objective function=17.2645, time remaining: 07:34:25
560 of 100000, maximal objective function=17.2645, time remaining: 07:34:26
568 of 100000, maximal objective function=17.2645, time remaining: 07:34:27
576 of 100000, maximal objective function=17.2658, time remaining: 07:34:28
584 of 100000, maximal objective function=18.0583, time remaining: 07:34:30
592 of 100000, maximal objective function=18.7946, time remaining: 07:34:30
600 of 100000, maximal objective function=19.1387, time remaining: 07:34:29
608 of 100000, maximal objective function=19.1387, time remaining: 07:34:26
616 of 100000, maximal objective function=19.1387, time remaining: 07:34:25
624 of 100000, maximal objective function=19.2013, time remaining: 07:34:22
632 of 100000, maximal objective function=19.2013, time remaining: 07:34:22
640 of 100000, maximal objective function=19.3064, time remaining: 07:34:24
648 of 100000, maximal objective function=19.3064, time remaining: 07:34:23
656 of 100000, maximal objective function=19.3064, time remaining: 07:34:22
664 of 100000, maximal objective function=19.3064, time remaining: 07:34:21
672 of 100000, maximal objective function=19.3064, time remaining: 07:34:21
