/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
8 of 100000, maximal objective function=6.97686, time remaining: 06:57:35
16 of 100000, maximal objective function=6.97686, time remaining: 07:19:46
24 of 100000, maximal objective function=6.97686, time remaining: 07:26:38
32 of 100000, maximal objective function=6.97686, time remaining: 07:30:31
40 of 100000, maximal objective function=6.97686, time remaining: 07:32:20
48 of 100000, maximal objective function=6.97686, time remaining: 07:33:08
56 of 100000, maximal objective function=6.97686, time remaining: 07:34:22
64 of 100000, maximal objective function=6.97686, time remaining: 07:35:22
72 of 100000, maximal objective function=6.97686, time remaining: 07:36:07
80 of 100000, maximal objective function=6.97686, time remaining: 07:36:31
88 of 100000, maximal objective function=6.97686, time remaining: 07:36:54
96 of 100000, maximal objective function=6.97686, time remaining: 07:37:04
104 of 100000, maximal objective function=6.97686, time remaining: 07:37:15
112 of 100000, maximal objective function=6.97686, time remaining: 07:37:27
120 of 100000, maximal objective function=6.97686, time remaining: 07:37:27
128 of 100000, maximal objective function=6.97686, time remaining: 07:37:36
136 of 100000, maximal objective function=6.97686, time remaining: 07:38:00
144 of 100000, maximal objective function=6.97686, time remaining: 07:38:22
152 of 100000, maximal objective function=6.97686, time remaining: 07:38:22
160 of 100000, maximal objective function=6.97686, time remaining: 07:38:33
168 of 100000, maximal objective function=6.97686, time remaining: 07:38:34
176 of 100000, maximal objective function=6.97686, time remaining: 07:38:41
184 of 100000, maximal objective function=6.97686, time remaining: 07:38:49
192 of 100000, maximal objective function=6.97686, time remaining: 07:38:51
200 of 100000, maximal objective function=6.97686, time remaining: 07:38:53
208 of 100000, maximal objective function=6.97686, time remaining: 07:38:56
216 of 100000, maximal objective function=6.97686, time remaining: 07:38:58
224 of 100000, maximal objective function=6.97686, time remaining: 07:38:58
232 of 100000, maximal objective function=6.97686, time remaining: 07:39:01
240 of 100000, maximal objective function=6.97686, time remaining: 07:39:04
248 of 100000, maximal objective function=6.97686, time remaining: 07:39:02
256 of 100000, maximal objective function=6.97686, time remaining: 07:38:58
264 of 100000, maximal objective function=6.97686, time remaining: 07:39:02
272 of 100000, maximal objective function=6.97686, time remaining: 07:39:03
280 of 100000, maximal objective function=6.97686, time remaining: 07:39:17
288 of 100000, maximal objective function=6.97686, time remaining: 07:39:18
296 of 100000, maximal objective function=6.97686, time remaining: 07:39:18
304 of 100000, maximal objective function=6.97686, time remaining: 07:39:17
312 of 100000, maximal objective function=6.97686, time remaining: 07:39:16
320 of 100000, maximal objective function=6.97686, time remaining: 07:39:17
328 of 100000, maximal objective function=6.97686, time remaining: 07:39:15
336 of 100000, maximal objective function=7.78695, time remaining: 07:39:11
344 of 100000, maximal objective function=7.78695, time remaining: 07:39:11
352 of 100000, maximal objective function=7.78695, time remaining: 07:39:11
360 of 100000, maximal objective function=9.36754, time remaining: 07:39:16
368 of 100000, maximal objective function=9.36754, time remaining: 07:39:15
376 of 100000, maximal objective function=9.36754, time remaining: 07:39:11
384 of 100000, maximal objective function=9.36754, time remaining: 07:39:11
392 of 100000, maximal objective function=9.36754, time remaining: 07:39:11
400 of 100000, maximal objective function=9.36754, time remaining: 07:39:09
408 of 100000, maximal objective function=9.36754, time remaining: 07:39:12
416 of 100000, maximal objective function=9.36754, time remaining: 07:39:11
424 of 100000, maximal objective function=9.36754, time remaining: 07:39:13
432 of 100000, maximal objective function=9.36754, time remaining: 07:39:12
440 of 100000, maximal objective function=9.36754, time remaining: 07:39:08
448 of 100000, maximal objective function=9.36754, time remaining: 07:39:09
456 of 100000, maximal objective function=9.36754, time remaining: 07:39:06
464 of 100000, maximal objective function=9.36754, time remaining: 07:39:15
472 of 100000, maximal objective function=9.36754, time remaining: 07:39:26
480 of 100000, maximal objective function=9.36754, time remaining: 07:39:26
488 of 100000, maximal objective function=9.36754, time remaining: 07:39:24
496 of 100000, maximal objective function=9.36754, time remaining: 07:39:21
504 of 100000, maximal objective function=10.3474, time remaining: 07:39:18
512 of 100000, maximal objective function=13.1054, time remaining: 07:39:17
520 of 100000, maximal objective function=16.0768, time remaining: 07:39:17
528 of 100000, maximal objective function=16.0768, time remaining: 07:39:17
536 of 100000, maximal objective function=16.9226, time remaining: 07:39:19
544 of 100000, maximal objective function=17.0195, time remaining: 07:39:23
552 of 100000, maximal objective function=17.0195, time remaining: 07:39:25
560 of 100000, maximal objective function=17.5809, time remaining: 07:39:22
568 of 100000, maximal objective function=17.7555, time remaining: 07:39:21
576 of 100000, maximal objective function=18.3104, time remaining: 07:39:19
584 of 100000, maximal objective function=18.3104, time remaining: 07:39:18
592 of 100000, maximal objective function=18.3104, time remaining: 07:39:19
600 of 100000, maximal objective function=18.3104, time remaining: 07:39:23
608 of 100000, maximal objective function=18.3104, time remaining: 07:39:23
616 of 100000, maximal objective function=18.3104, time remaining: 07:39:21
624 of 100000, maximal objective function=19.1207, time remaining: 07:39:18
632 of 100000, maximal objective function=19.1207, time remaining: 07:39:17
640 of 100000, maximal objective function=19.1207, time remaining: 07:39:14
648 of 100000, maximal objective function=19.1207, time remaining: 07:39:12
656 of 100000, maximal objective function=19.1207, time remaining: 07:39:09
664 of 100000, maximal objective function=19.1207, time remaining: 07:39:06
672 of 100000, maximal objective function=19.1207, time remaining: 07:39:04
680 of 100000, maximal objective function=19.4558, time remaining: 07:39:01
