/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
792 of 100000, maximal objective function=19.1438, time remaining: 07:30:49
800 of 100000, maximal objective function=19.3839, time remaining: 07:30:47
808 of 100000, maximal objective function=19.4362, time remaining: 07:30:44
816 of 100000, maximal objective function=19.4362, time remaining: 07:30:43
824 of 100000, maximal objective function=19.4362, time remaining: 07:30:41
832 of 100000, maximal objective function=19.4362, time remaining: 07:30:39
840 of 100000, maximal objective function=19.4362, time remaining: 07:30:36
848 of 100000, maximal objective function=19.6962, time remaining: 07:30:36
856 of 100000, maximal objective function=19.6962, time remaining: 07:30:41
864 of 100000, maximal objective function=19.6962, time remaining: 07:30:50
871 of 100000, maximal objective function=19.6962, time remaining: 07:31:00
879 of 100000, maximal objective function=19.6962, time remaining: 07:31:04
887 of 100000, maximal objective function=19.6962, time remaining: 07:31:04
895 of 100000, maximal objective function=19.6962, time remaining: 07:31:01
903 of 100000, maximal objective function=19.6962, time remaining: 07:30:59
911 of 100000, maximal objective function=19.7141, time remaining: 07:30:56
919 of 100000, maximal objective function=19.7141, time remaining: 07:30:54
927 of 100000, maximal objective function=19.8474, time remaining: 07:30:51
935 of 100000, maximal objective function=19.8474, time remaining: 07:30:48
943 of 100000, maximal objective function=19.8474, time remaining: 07:30:46
951 of 100000, maximal objective function=19.8474, time remaining: 07:30:45
959 of 100000, maximal objective function=19.8474, time remaining: 07:30:46
967 of 100000, maximal objective function=19.8474, time remaining: 07:30:47
975 of 100000, maximal objective function=19.8474, time remaining: 07:30:47
983 of 100000, maximal objective function=19.8474, time remaining: 07:30:45
991 of 100000, maximal objective function=19.8474, time remaining: 07:30:42
999 of 100000, maximal objective function=19.8474, time remaining: 07:30:38
1007 of 100000, maximal objective function=19.8474, time remaining: 07:30:35
1015 of 100000, maximal objective function=19.8474, time remaining: 07:30:34
1023 of 100000, maximal objective function=19.8489, time remaining: 07:30:34
1031 of 100000, maximal objective function=19.8489, time remaining: 07:30:31
1039 of 100000, maximal objective function=19.8489, time remaining: 07:30:27
1047 of 100000, maximal objective function=19.9407, time remaining: 07:30:24
1055 of 100000, maximal objective function=19.9407, time remaining: 07:30:24
1063 of 100000, maximal objective function=19.9407, time remaining: 07:30:22
1071 of 100000, maximal objective function=19.943, time remaining: 07:30:20
1079 of 100000, maximal objective function=19.943, time remaining: 07:30:18
1086 of 100000, maximal objective function=19.943, time remaining: 07:30:25
1092 of 100000, maximal objective function=19.943, time remaining: 07:31:19
1100 of 100000, maximal objective function=19.943, time remaining: 07:31:17
1108 of 100000, maximal objective function=19.943, time remaining: 07:31:16
1116 of 100000, maximal objective function=19.943, time remaining: 07:31:14
1124 of 100000, maximal objective function=19.943, time remaining: 07:31:12
1132 of 100000, maximal objective function=19.964, time remaining: 07:31:13
1140 of 100000, maximal objective function=19.964, time remaining: 07:31:10
1148 of 100000, maximal objective function=19.964, time remaining: 07:31:06
